EMPNO,JUMIN_NO,EMP_NAME,JIKGB_CODE,JIKCH_CODE,DEPT_CODE,IBSA_DATE,HT_CODE,HT_DATE,SCHOOL_CODE,ZIP_CODE,ADDRESS,MARRY_CODE,MARRY_DATE,TEL,TEL_1,TEL_2,TEL_3,INTERPHONE,INTERNET_1,INTERNET_2,INTERNET_3,TOEIC_MARK,JPT_MARK,BIRTH_DATE,BIRTH_CODE,RELIGION_CODE,HOBBY,WELL,EYE_L,EYE_R,COLOR_CODE,BLOOD,BLOOD_RH,HEIGHT,WEIGHT,CAR_NO,HOUSE_CODE,AREA_CODE
98001,7.21E+12,이공명,S1,,A001,1997-10-25,1,,5,435047,경기도 군포시 궁내동 주공아파트,N,,0343-399-xxxx,012-1039-xxxx,,,100,lkdm@chollian.net,"Hitel, Chollian ID => LKDM",www.lkdm.co.kr,,,1972-08-22,1,5,"컴퓨터랑 놀기, 농구",,0.4,0.2,N,B,RH+,179,67,,1,1
98002,7.50E+12,이대명,S2,1,B001,1997-10-25,1,,6,435047,경기도 군포시 궁내동,N,,0343-395-xxxx,017-754-xxxx,,,,lkdm@chollian.net,"Hitel, Chollian ID => LKDM",www.lkdm.co.kr,950,,1975-02-28,1,5,역사파고들기,힘..,1,1,N,O,RH+,181,80,,1,1
98003,7.41E+12,문광헌,M1,1,D001,1997-12-03,1,,6,123567,서울특별시 강남구 개포동,Y,,02-615-xxxx,011-834-xxxx,,,,lkdm@chollian.net,"Hitel, Chollian ID => LKDM",www.lkdm.co.kr,850,,1974-07-08,2,,드라이브,말장난,1,1,N,AB,RH+,170.5,64.8,,1,5
98004,7.41E+12,박현기,M3,1,C001,1997-12-03,1,,6,234567,경기도 성남시 태평동,N,,0342-845-xxxx,012-1058-xxxx,,,,lkdm@chollian.net,"Hitel, Chollian ID => LKDM",www.lkdm.co.kr,860,,1974-10-20,1,5,책읽기,글쓰기,1.5,1.5,,A,RH+,177,76,,4,
98005,7.60E+12,박지태,M3,,D001,1998-04-01,1,,6,345678,서울특별시 구로구 가리봉동,N,,02-825-xxxx,017-963-xxxx,,,,lkdm@chollian.net,"Hitel, Chollian ID => LKDM",www.lkdm.co.kr,790,500,1976-03-21,2,5,오락,농구,2,2,N,AB,RH+,176.5,68.5,,2,6
98006,7.40E+12,최겸수,G1,,C001,1998-04-01,1,,6,456789,서울특별시 노원구 공릉동,Y,,02-789-xxxx,011-245-xxxx,,,,lkdm@chollian.net,"Hitel, Chollian ID => LKDM",www.lkdm.co.kr,900,0,1974-02-22,2,1,비디오감상,외국어,0.8,0.8,N,O,RH+,169,62,,1,2
98007,7.41E+12,유재홍,G1,1,E001,1999-07-03,1,,4,321645,서울특별시 도봉구 도봉동,N,,02-345-xxxx,016-5654-xxxx,,,,lkdm@chollian.net,"Hitel, Chollian ID => LKDM",www.lkdm.co.kr,,0,1974-05-22,1,1,요리, ,1.2,1.2,N,AB,RH+,165,56,,1,4
98008,7.40E+12,문재선,G3,,D001,1999-07-03,1,,6,456321,서울특별시 강동구 고덕동,N,,02-345-xxxx,011-456-xxxx,,,,lkdm@chollian.net,"Hitel, Chollian ID => LKDM",www.lkdm.co.kr,960,,1974-06-15,1,2,오락,농구,1,1,N,A,RH+,169,50,,2,
98009,7.41E+12,이재만,G3,,D001,1999-07-25,1,,7,151515,서울특별시 마포구 공덕동,Y,,02-963-xxxx,018-852-xxxx,,,,lkdm@chollian.net,"Hitel, Chollian ID => LKDM",www.lkdm.co.kr,,,1974-04-28,2,1,당구,볼링,1.5,1.5,N,O,RH+,175,63,,2,3
98010,7.50E+12,송진윽,G3,,D001,1999-07-25,1,,6,951256,서울특별시 금천구 독산동,Y,,02-741-xxxx,018-789-xxxx,,,,lkdm@chollian.net,"Hitel, Chollian ID => LKDM",www.lkdm.co.kr,890,,1975-09-05,1,,노래부르기,,0.5,0.5,N,B,RH+,172,70,,1,
